prompt_index,prompt,filepath,flake8_ok,flake8_output,mypy_ok,mypy_output,pytest_result
1,Write a Python function `read_file(path)` that returns file contents with proper error handling and docstring.,/path/to/file.py,False,reports/generated_from_model/full_run/path/to/file.py:23:72: W292 no newline at end of file,True,Success: no issues found in 1 source file,skipped
2,Write a CLI command (argparse) `count-lines` that prints the number of lines in a file and handles missing files gracefully.,/path/to/your/script.py,False,"reports/generated_from_model/full_run/path/to/your/script.py:5:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:17:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:24:1: E305 expected 2 blank lines after class or function definition, found 1
reports/generated_from_model/full_run/path/to/your/script.py:25:11: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
3,Generate a small Python module `fsutils.py` with `ensure_dir(path)` and tests for it.,/path/to/fsutils.py,False,"reports/generated_from_model/full_run/path/to/fsutils.py:4:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/fsutils.py:19:1: E305 expected 2 blank lines after class or function definition, found 1
reports/generated_from_model/full_run/path/to/fsutils.py:24:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/fsutils.py:43:1: E305 expected 2 blank lines after class or function definition, found 1",True,Success: no issues found in 1 source file,skipped
4,Provide a robust `parse_args(argv)` function that supports subcommands `init` and `run` and prints helpful usage.,/path/to/your/script.py,False,"reports/generated_from_model/full_run/path/to/your/script.py:4:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:8:1: W293 blank line contains whitespace
reports/generated_from_model/full_run/path/to/your/script.py:12:1: W293 blank line contains whitespace
reports/generated_from_model/full_run/path/to/your/script.py:16:1: W293 blank line contains whitespace
reports/generated_from_model/full_run/path/to/your/script.py:19:1: W293 blank line contains whitespace
reports/generated_from_model/full_run/path/to/your/script.py:27:1: E305 expected 2 blank lines after class or function definition, found 1
reports/generated_from_model/full_run/path/to/your/script.py:29:29: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
5,"Write a function `atomic_write(path, content)` that writes to a temp file and renames to avoid partial files.",/path/to/atomic_write.py,True,,True,Success: no issues found in 1 source file,skipped
7,Write a function that detects a project's virtualenv path cross-platform (Windows/Linux/Mac).,/path/to/virtualenv_detector.py,False,"reports/generated_from_model/full_run/path/to/virtualenv_detector.py:2:1: F401 'os' imported but unused
reports/generated_from_model/full_run/path/to/virtualenv_detector.py:5:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/virtualenv_detector.py:12:1: E305 expected 2 blank lines after class or function definition, found 1
reports/generated_from_model/full_run/path/to/virtualenv_detector.py:18:50: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
8,"Provide a small script that performs idempotent config file updates (adds key if missing), with tests.",/path/to/config_updater.py,False,"reports/generated_from_model/full_run/path/to/config_updater.py:6:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/config_updater.py:10:1: W293 blank line contains whitespace
reports/generated_from_model/full_run/path/to/config_updater.py:25:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/config_updater.py:46:1: E305 expected 2 blank lines after class or function definition, found 1",True,Success: no issues found in 1 source file,skipped
9,Write a code example that safely runs a shell command and captures stdout/stderr using subprocess.run.,/path/to/your/script.py,False,"reports/generated_from_model/full_run/path/to/your/script.py:4:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:23:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:35:1: E305 expected 2 blank lines after class or function definition, found 1
reports/generated_from_model/full_run/path/to/your/script.py:36:11: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
10,Suggest a good logging configuration for a CLI tool that writes to console and file with rotating logs.,/path/to/logging_config.py,False,"reports/generated_from_model/full_run/path/to/logging_config.py:4:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/logging_config.py:32:18: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
11,"Create a function `prompt_user_yes_no(prompt, default=True)` that handles CTRL-C and returns boolean.",/path/to/your/script.py,False,"reports/generated_from_model/full_run/path/to/your/script.py:5:1: E302 expected 2 blank lines, found 1
reports/generated_from_model/full_run/path/to/your/script.py:36:27: W292 no newline at end of file",True,Success: no issues found in 1 source file,skipped
